"page_id";"element_id";"text";"line_id";"section_title";"morelines";"section_no";"several_lines";"several_line_title";"section_title_text";"page_of_section";"void_ident";"text_line_id";"text_line_id_start";"text_line_id_end";"section_text";"chapter_no"
3;3;"intellectual property rights ................................................................................................................................5";43;"intellectual property rights";FALSE;NA;FALSE;FALSE;NA;5;FALSE;"128";128;136;"intellectual property rights iprs essential or potentially essential to the present document may have been declared to etsi. the information pertaining to these essential iprs, if any, is publicly available for etsi members and non-members, and can be found in etsi sr 000 314: 'intellectual property rights (iprs).  essential, or potentially essential, iprs notified to etsi in respect of etsi standards', which is available from the etsi secretariat. latest updates are available on the etsi web server (http://ipr.etsi.org). pursuant to the etsi ipr policy, no investigation, including ipr searches, has been carried out by etsi. no guarantee can be given as to the existence of other iprs not referenced in etsi sr 000 314 (or the updates on the etsi web server) which are, or may be, or may become, essential to the present document.";NA
3;4;"foreword.............................................................................................................................................................5";44;"foreword";FALSE;NA;FALSE;FALSE;NA;5;FALSE;"137";137;138;"foreword this etsi guide (eg) has been produced by etsi technical committee methods for testing and specification (mts).";NA
3;5;"introduction ........................................................................................................................................................5";45;"introduction";FALSE;NA;FALSE;FALSE;NA;5;FALSE;"139";139;146;"introduction etsi produces technical standards for a wide range of communication applications. all these standards need to be thoroughly validated and many different methods are available for this purpose. the present document collects and presents those validation methods which are practical and have been successfully applied either within etsi or in other standardization bodies. each method has its advantages and disadvantages and they are probably most effective if used in combination and at all stages of the standards development process. a three level approach for the basic, strong and rigorous validation of standards is presented to guide the selection and application of standard validation methods. 6                         etsi eg 201 015 v2.1.1 (2012-02)";NA
3;6;"1       scope ........................................................................................................................................................6";46;"1       scope";FALSE;"1";FALSE;FALSE;"scope";6;FALSE;"147";147;155;"1               scope the present document identifies and describes a number of practical methods that can be used to validate all types of standards produced by etsi. the methods described are as follows: •     review methods.  •     model-based methods.  •     product-based methods.  and •     testing. it also gives guidance on how and when each of these methods can be used most effectively within etsi's standards engineering process.";"1"
3;7;"2       references ................................................................................................................................................6";47;"2       references";FALSE;"2";FALSE;FALSE;"references";6;FALSE;"156";156;163;"2               references references are either specific (identified by date of publication and/or edition number or version number) or non-specific. for specific references, only the cited version applies. for non-specific references, the latest version of the referenced document (including any amendments) applies. referenced documents which are not found to be publicly available in the expected location might be found at http://docbox.etsi.org/reference. note:       while any hyperlinks included in this clause were valid at the time of publication etsi cannot guarantee their long term validity.";"2"
3;8;"2.1         normative references ......................................................................................................................................... 6";48;"2.1         normative references";FALSE;"2.1";FALSE;FALSE;"normative references";6;FALSE;"164";164;166;"2.1             normative references the following referenced documents are necessary for the application of the present document. not applicable.";"2"
3;9;"2.2         informative references ........................................................................................................................................ 6";49;"2.2         informative references";FALSE;"2.2";FALSE;FALSE;"informative references";6;FALSE;"167";167;233;"2.2             informative references the following referenced documents are not necessary for the application of the present document but they assist the user with regard to a particular subject area. [i.1]               etsi eg 201 383: 'methods for testing and specification (mts).  use of sdl in etsi deliverables.  guidelines for facilitating validation and the development of conformance tests'. [i.2]               etsi eg 201 872: 'methods for testing and specification (mts).  methodological approach to the use of object-orientation in the standards making process'. [i.3]               etsi eg 202 107: 'methods for testing and specification (mts).  planning for validation and testing in the standards-making process'. [i.4]               etsi eg 202 237: 'methods for testing and specification (mts).  internet protocol testing (ipt).  generic approach to interoperability testing'. [i.5]               etsi eg 202 568: 'methods for testing and specification (mts).  internet protocol testing (ipt).  testing: methodology and framework'. [i.6]               etsi es 201 873-1: 'methods for testing and specification (mts).  the testing and test control notation version 3.  part 1: ttcn-3 core language'. 7                        etsi eg 201 015 v2.1.1 (2012-02) [i.7]  etsi es 202 553: 'methods for testing and specification (mts).  tplan: a notation for expressing test purposes'. [i.8]  etsi ts 102 385-2: 'broadband radio access networks (bran).  hiperman. conformance testing for wimax/hiperman 1.2.1.  part 2: test suite structure and test purposes (tss&tp)'. [i.9]  etsi ts 102 558: 'methods for testing and specification (mts).  internet protocol testing (ipt): ipv6 security.  requirements catalogue'. [i.10] etsi ts 102 593: 'methods for testing and specification (mts).  internet protocol testing (ipt).  ipv6 security.  conformance test suite structure and test purposes (tss&tp)'. [i.11] etsi ts 102 795: 'electromagnetic compatibility and radio spectrum matters (erm).  digital private mobile radio (dpmr).  part 3: requirements catalogue'. [i.12] etsi ts 102 870-2: 'intelligent transport systems (its).  testing. conformance test specifications for geonetworking basic transport protocol (btp).  part 2: test suite structure and test purposes (tss&tp)'. [i.13] etsi etr 184: 'methods for testing and specification (mts).  overview of validation techniques for european telecommunication standards (etss) containing sdl'. [i.14] etsi etr 212: 'methods for testing and specification (mts).  implementation conformance statement (ics) proforma style guide'. [i.15] etsi ets 300 406: 'methods for testing and specification (mts).  protocol and profile conformance testing specifications.  standardization methodology'. [i.16] etsi directives, version 27 (2010). [i.17] iso/iec 9646-1: 'information technology.  open systems interconnection.  conformance testing methodology and framework.  part 1: general concepts'. [i.18] itu-t recommendation z.100: 'specification and description language (sdl)'. [i.19] itu-t recommendation z.120: 'message sequence chart (msc)'. [i.20] itu-t recommendation x.680: 'information technology - abstract syntax notation one (asn.1): specification of basic notation'. [i.21] omg: 'unified modelling language™ (uml®)'. [i.22] omg: 'uml testing profile (utp)'. [i.23] ieee guide to the software engineering body of knowledge (swebok). [i.24] ieee 1028-2008: 'ieee standard for software reviews and audits'. [i.25] 'the elements of uml 2.0 style', scott w. ambler.  cambridge university press.  isbn: 0-521-61678-6. [i.26] 'seven process modeling guidelines (7pmg)', j. mendling, h. a. reijers, and w. m. p. van der aalst.  information and software technology volume 52, issue 2, february 2010. [i.27] 'design and code inspections to reduce errors in program development', m.e., fagan.  ibm systems journal volume 15, issue 3, 1976. [i.28] 'an approach to quality engineering of ttcn-3 test specifications', helmut neukirchen, benjamin zeiss, jens grabowski.  international journal on software tools for technology transfer (sttt) volume 10 issue 4, 2008. [i.29] 'a flexible framework for quality assurance of software artefacts with applications to java, uml, and ttcn-3 test specifications', jens nodler, helmut neukirchen, jens grabowski.  proceedings of the 2nd international conference on software testing, verification and validation (icst), 2009.  ieee computer society, isbn 978-0-7695-3601-9. 8                         etsi eg 201 015 v2.1.1 (2012-02) [i.30]            'on the application of software metrics to uml models', jacqueline a. mcquillan and james f. power.  lecture notes in computer science, 2007.  volume 4364, models in software engineering.  springer. [i.31]            'come, let's play: scenario-based programming using lscs and the play-engine', david harel, rami marelly, springer 2005. [i.32]            'a visual approach to validating system level designs', jochen klose, thomas kropf, jürgen ruf, isss'02, october 2-4, 2002, kyoto, japan.";"2"
3;10;"3       definitions and abbreviations ...................................................................................................................8";50;"3       definitions and abbreviations";FALSE;"3";FALSE;FALSE;"definitions and abbreviations";8;FALSE;"234";234;234;"3              definitions and abbreviations";"3"
3;11;"3.1         definitions .......................................................................................................................................................... 8";51;"3.1         definitions";FALSE;"3.1";FALSE;FALSE;"definitions";8;FALSE;"235";235;240;"3.1            definitions for the purposes of the present document, the following terms and definitions apply: validation: the process, with associated methods, procedures and tools, by which an evaluation is made that a standard can be fully implemented, conforms to rules for standards, satisfies the purpose expressed in the record of requirements on which the standard is based and that an implementation that conforms to the standard will have the functionality expressed in the record of requirements on which the standard is based";"3"
3;12;"3.2         abbreviations ..................................................................................................................................................... 8";52;"3.2         abbreviations";FALSE;"3.2";FALSE;FALSE;"abbreviations";8;FALSE;"241";241;275;"3.2            abbreviations for the purposes of the present document, the following abbreviations apply: 7pmg              seven process modelling guidelines asn.1             abstract syntax notation number 1 [i.20] ats               abstract test suite cr                change request cti                etsi centre for testing and interoperability hiperman          high performance radio metropolitan access network ics                implementation conformance statement ifs               implementable functions statement ipv6              internet protocol version 6 its               intelligent transport system ixit              implementation extra information for testing lsc               life sequence charts msc                message sequence chart [i.19] mv                member vote sdl               specification and design language [i.18] stf               specialist task force sut               system under test swebok            software body of engineering knowledge t3q               ttcn-3 quality evaluation software tool tb                technical body tc                test case tc/wg              technical commitee/working group td                test descriptions tor               terms of reference tp                test purpose tplan             notation for expressing test purposes [i.7] tss               test suite structure ttcn-3            testing and test control notation version 3 [i.6] uml               unified modelling language [i.21] utp               uml testing profile [i.22] wg                working group wimax             worldwide interoperability for microwave access 9                        etsi eg 201 015 v2.1.1 (2012-02)";"3"
